"STUDENT_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","JOINING_DATE","SPECIALIZATION","STIPEND","BONUS","MANAGER_ID","COORDINATOR_ID"
100,"NARESH","KUMAR","SKING","515.123.4567",17-JUN-03,"IICSCOMBO",24000,,,90
101,"HEMANTH","KUMAR","NKOCHHAR","515.123.4568",21-SEP-05,"IICSCOMBO",17000,,100,90
102,"ABHI","MANYU","LDEHAAN","515.123.4569",13-JAN-01,"IICSCOMBO",17000,,100,90
103,"PAVAN","KUMAR","AHUNOLD","590.423.4567",03-JAN-06,"IICSCOMBO",9000,,102,60
104,"Bruce","Ernst","BERNST","590.423.4568",21-MAY-07,"IICSCOMBO",6000,,103,60
105,"David","Austin","DAUSTIN","590.423.4569",25-JUN-05,"IICSCOMBO",4800,,103,60
106,"Valli","Pataballa","VPATABAL","590.423.4560",05-FEB-06,"IICSCOMBO",4800,,103,60
107,"Diana","Lorentz","DLORENTZ","590.423.5567",07-FEB-07,"IICSCOMBO",4200,,103,60
108,"Nancy","Greenberg","NGREENBE","515.124.4569",17-AUG-02,"IICSCOMBO",12008,,101,100
109,"Daniel","Faviet","DFAVIET","515.124.4169",16-AUG-02,"IICSCOMBO",9000,,108,100
110,"John","Chen","JCHEN","515.124.4269",28-SEP-05,"IICSCOMBO",8200,,108,100
111,"Ismael","Sciarra","ISCIARRA","515.124.4369",30-SEP-05,"IICSCOMBO",7700,,108,100
112,"Jose Manuel","Urman","JMURMAN","515.124.4469",07-MAR-06,"IICSCOMBO",7800,,108,100
113,"Luis","Popp","LPOPP","515.124.4567",07-DEC-07,"IICSCOMBO",6900,,108,100
114,"Den","Raphaely","DRAPHEAL","515.127.4561",07-DEC-02,"IICSCOMBO",11000,,100,30
115,"Alexander","Khoo","AKHOO","515.127.4562",18-MAY-03,"IICSCOMBO",3100,,114,30
116,"Shelli","Baida","SBAIDA","515.127.4563",24-DEC-05,"IICSCOMBO",2900,,114,30
117,"Sigal","Tobias","STOBIAS","515.127.4564",24-JUL-05,"IICSCOMBO",2800,,114,30
118,"Guy","Himuro","GHIMURO","515.127.4565",15-NOV-06,"IICSCOMBO",2600,,114,30
119,"Karen","Colmenares","KCOLMENA","515.127.4566",10-AUG-07,"IICSCOMBO",2500,,114,30
120,"Matthew","Weiss","MWEISS","650.123.1234",18-JUL-04,"IICSCOMBO",8000,,100,50
121,"Adam","Fripp","AFRIPP","650.123.2234",10-APR-05,"IICSCOMBO",8200,,100,50
122,"Payam","Kaufling","PKAUFLIN","650.123.3234",01-MAY-03,"POWERCENTER",7900,,100,50
123,"Shanta","Vollman","SVOLLMAN","650.123.4234",10-OCT-05,"IICS",6500,,100,50
124,"Kevin","Mourgos","KMOURGOS","650.123.5234",16-NOV-07,"IICS",5800,,100,50
125,"Julia","Nayer","JNAYER","650.124.1214",16-JUL-05,"IICS",3200,,120,50
126,"Irene","Mikkilineni","IMIKKILI","650.124.1224",28-SEP-06,"IICS",2700,,120,50
127,"James","Landry","JLANDRY","650.124.1334",14-JAN-07,"IICS",2400,,120,50
128,"Steven","Markle","SMARKLE","650.124.1434",08-MAR-08,"IICS",2200,,120,50
129,"Laura","Bissot","LBISSOT","650.124.5234",20-AUG-05,"IICS",3300,,121,50
130,"Mozhe","Atkinson","MATKINSO","650.124.6234",30-OCT-05,"IICS",2800,,121,50
131,"James","Marlow","JAMRLOW","650.124.7234",16-FEB-05,"IICS",2500,,121,50
132,"TJ","Olson","TJOLSON","650.124.8234",10-APR-07,"IICS",2100,,121,50
133,"Jason","Mallin","JMALLIN","650.127.1934",14-JUN-04,"IICS",3300,,122,50
134,"Michael","Rogers","MROGERS","650.127.1834",26-AUG-06,"IICS",2900,,122,50
135,"Ki","Gee","KGEE","650.127.1734",12-DEC-07,"IICS",2400,,122,50
136,"Hazel","Philtanker","HPHILTAN","650.127.1634",06-FEB-08,"IICS",2200,,122,50
137,"Renske","Ladwig","RLADWIG","650.121.1234",14-JUL-03,"POWERCENTER",3600,,123,50
138,"Stephen","Stiles","SSTILES","650.121.2034",26-OCT-05,"POWERCENTER",3200,,123,50
